FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8203529,8203529,POINT (16.257809556502494 48.13743150067377),Willerbrücke,Willerbrücke,N61,,13,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8203530,8203530,POINT (16.257809556502494 48.13743150067377),Willerbrücke,Willerbrücke,N61,,12,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8203531,8203531,POINT (16.25760736461107 48.136879931189775),Willerbrücke,Willerbrücke,"N60, 60A, 253, 250, N61",,3,https://anachb.vor.at?P=SQ&input=Wien%20Willerbrücke&start=1,
OEFFHALTESTOGD.8204162,8204162,POINT (16.335783029516605 48.17550856996958),"Bhf. Meidling, Dörfelstraße","Bhf. Meidling, Dörfelstraße",WLB,,6,"https://anachb.vor.at?P=SQ&input=Wien%20Bhf.%20Meidling,%20Dörfelstraße&start=1",
OEFFHALTESTOGD.8204163,8204163,POINT (16.3439307528489 48.22097944826733),Michelbeuern-AKH,Michelbeuern-AKH,"N8, U6, 42, 42E, 9",,4,https://anachb.vor.at?P=SQ&input=Wien%20Michelbeuern-AKH&start=1,
OEFFHALTESTOGD.8204164,8204164,POINT (16.50408167760228 48.23463246328773),Aspern Nord,Aspern Nord,"99B, N84, U2, 89A, SV910, 95A, R 2548, 84A, REX81, S80, REX8, 99A",,5,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8204165,8204165,POINT (16.50408158926443 48.234605483998884),Aspern Nord,Aspern Nord,"99B, N84, U2, 89A, SV910, 95A, R 2548, 84A, REX81, S80, REX8, 99A",,4,https://anachb.vor.at?P=SQ&input=Wien%20Aspern%20Nord&start=1,
OEFFHALTESTOGD.8204166,8204166,POINT (16.384642145857477 48.21480835194291),Nestroyplatz,Nestroyplatz,"U1, 5A, N25",,4,https://anachb.vor.at?P=SQ&input=Wien%20Nestroyplatz&start=1,
OEFFHALTESTOGD.8204167,8204167,POINT (16.328003614575675 48.140647521353614),Neu Erlaa,Neu Erlaa,SEV 303,,5,https://anachb.vor.at?P=SQ&input=Wien%20Neu%20Erlaa&start=1,
OEFFHALTESTOGD.8204168,8204168,POINT (16.328003614575675 48.140647521353614),Neu Erlaa,Neu Erlaa,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Neu%20Erlaa&start=1,
OEFFHALTESTOGD.8204169,8204169,POINT (16.303857101872556 48.18778743099592),Hietzing,Hietzing,"58A, 56A, N60, U4, 58B, 52, N54, 60, 49, 51A, 10, 56B",,4,https://anachb.vor.at?P=SQ&input=Wien%20Hietzing&start=1,
OEFFHALTESTOGD.8204170,8204170,POINT (16.468230130746626 48.23268189423833),Hirschstetten,Hirschstetten,"22A, R 2548, 95B, S80, SV910, 98A",,5,https://anachb.vor.at?P=SQ&input=Wien%20Hirschstetten&start=1,
OEFFHALTESTOGD.8204171,8204171,POINT (16.261061485619905 48.19740779223404),Hütteldorf,Hütteldorf,"WB 910, 49A, WB 918, WB 962, 453, 50B, WB 903, WB 920, WB 959, REX 17831, WB 901, 451, WB 968, WB 928, WB 930, WB 914, WB 965, WB 964, WB 952, WB 961, WB 908, WB 948, REX51, WB 904, WB 960, N49, WB 95",,5,https://anachb.vor.at?P=SQ&input=Wien%20Hütteldorf&start=1,
OEFFHALTESTOGD.8204172,8204172,POINT (16.261061524992662 48.197380812674325),Hütteldorf,Hütteldorf,"WB 910, 49A, WB 918, WB 962, 453, 50B, WB 903, WB 920, WB 959, REX 17831, WB 901, 451, WB 968, WB 928, WB 930, WB 914, WB 965, WB 964, WB 952, WB 961, WB 908, WB 948, REX51, WB 904, WB 960, N49, WB 95",,4,https://anachb.vor.at?P=SQ&input=Wien%20Hütteldorf&start=1,
OEFFHALTESTOGD.8204173,8204173,POINT (16.36923603286789 48.138849204103416),Blumental,Blumental,"16A, S60",,5,https://anachb.vor.at?P=SQ&input=Wien%20Blumental&start=1,
OEFFHALTESTOGD.8204174,8204174,POINT (16.334399599762857 48.14997407296994),Inzersdorf Lokalbahn,Inzersdorf Lokalbahn,SEV ,,5,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Lokalbahn&start=1,
OEFFHALTESTOGD.8204175,8204175,POINT (16.334399599762857 48.14997407296994),Inzersdorf Lokalbahn,Inzersdorf Lokalbahn,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Inzersdorf%20Lokalbahn&start=1,
OEFFHALTESTOGD.8204176,8204176,POINT (16.39687729808128 48.27319954589025),Jedlersdorf,Jedlersdorf,"R 21222, 36A, S4, REX3, SV903, R 21170, S7, S3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Jedlersdorf&start=1,
OEFFHALTESTOGD.8204177,8204177,POINT (16.366101001447248 48.18990738286376),Johann-Strauß-Gasse,Johann-Strauß-Gasse,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Johann-Strauß-Gasse&start=1,
OEFFHALTESTOGD.8204178,8204178,POINT (16.31963143911802 48.19766817409349),Johnstraße,Johnstraße,"12A, 49, 10A, N49, U3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Johnstraße&start=1,
OEFFHALTESTOGD.8204179,8204179,POINT (16.339151763567077 48.211378396869264),Josefstädter Straße,Josefstädter Straße,"N8, U6, 33, 46, 2",,4,https://anachb.vor.at?P=SQ&input=Wien%20Josefstädter%20Straße&start=1,
OEFFHALTESTOGD.8204180,8204180,POINT (16.43356424640316 48.2434603854093),Kagran,Kagran,"22A, 25, 27A, 26, 26A, 2, N26, U1, N25, 27B, 94A, 93A",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kagran&start=1,
OEFFHALTESTOGD.8204181,8204181,POINT (16.443292907709203 48.250297846640926),Kagraner Platz,Kagraner Platz,"22A, N23, N24, N20, 26, 24A, 25A, 26E, 31A, U1, N25",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kagraner%20Platz&start=1,
OEFFHALTESTOGD.8204182,8204182,POINT (16.4154902187942 48.232331849195624),Kaisermühlen-VIC,Kaisermühlen-VIC,"VAL 3, N90, U1, N25, 20A, 92A, 92B",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kaisermühlen-VIC&start=1,
OEFFHALTESTOGD.8204183,8204183,POINT (16.400524343403493 48.19732682553138),Kardinal-Nagl-Platz,Kardinal-Nagl-Platz,"77A, N75, U3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kardinal-Nagl-Platz&start=1,
OEFFHALTESTOGD.8204184,8204184,POINT (16.368939703223433 48.20094942817976),Karlsplatz,Karlsplatz,"B01, 2, 1, U1, N49, 4A, 59A, N60, U4, B05, U2Z, N46, 096, 311, N62, 62",,4,https://anachb.vor.at?P=SQ&input=Wien%20Karlsplatz&start=1,
OEFFHALTESTOGD.8204185,8204185,POINT (16.368939703223433 48.20094942817976),Karlsplatz,Karlsplatz,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Karlsplatz&start=1,
OEFFHALTESTOGD.8204186,8204186,POINT (16.376530434606547 48.1781262320454),Keplerplatz,Keplerplatz,"14A, U1",,4,https://anachb.vor.at?P=SQ&input=Wien%20Keplerplatz&start=1,
OEFFHALTESTOGD.8204187,8204187,POINT (16.358986445323204 48.1968119538385),Kettenbrückengasse,Kettenbrückengasse,"N60, U4",,4,https://anachb.vor.at?P=SQ&input=Wien%20Kettenbrückengasse&start=1,
OEFFHALTESTOGD.8204188,8204188,POINT (16.364457099592634 48.18279831734915),Kliebergasse,Kliebergasse,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Kliebergasse&start=1,
OEFFHALTESTOGD.8204189,8204189,POINT (16.340939396634024 48.24007133804924),Krottenbachstraße,Krottenbachstraße,"N35, S45, 35A",,5,https://anachb.vor.at?P=SQ&input=Wien%20Krottenbachstraße&start=1,
OEFFHALTESTOGD.8204190,8204190,POINT (16.384579359272443 48.206065473952755),Mitte-Landstraße,Mitte-Landstraße,"REX 14887, S1, REX1, REX 14882, R1, R 21222, REX92, 2, REX2, U3, 74A, REX7, CAT, 1, S2, O, R3, U4, REX 14886, N75, REX3, S4, REX 14883, S7, S3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Mitte-Landstraße&start=1,
OEFFHALTESTOGD.8204191,8204191,POINT (16.384579333785798 48.2060384944216),Mitte-Landstraße,Mitte-Landstraße,"REX 14887, S1, REX1, REX 14882, R1, R 21222, REX92, 2, REX2, U3, 74A, REX7, CAT, 1, S2, O, R3, U4, REX 14886, N75, REX3, S4, REX 14883, S7, S3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Mitte-Landstraße&start=1,
OEFFHALTESTOGD.8204192,8204192,POINT (16.362687411346254 48.185541405319164),Laurenzgasse,Laurenzgasse,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Laurenzgasse&start=1,
OEFFHALTESTOGD.8204193,8204193,POINT (16.325146920919025 48.135995644813725),Schönbrunner Allee,Schönbrunner Allee,SEV ,,5,https://anachb.vor.at?P=SQ&input=Wien%20Schönbrunner%20Allee&start=1,
OEFFHALTESTOGD.8204194,8204194,POINT (16.325146920919025 48.135995644813725),Schönbrunner Allee,Schönbrunner Allee,WLB,,6,https://anachb.vor.at?P=SQ&input=Wien%20Schönbrunner%20Allee&start=1,
OEFFHALTESTOGD.8204195,8204195,POINT (16.450227971904845 48.27750419163055),Leopoldau,Leopoldau,"S1, CJX9, REX1, R1, REX 24212, REX2, REX7, REX 24312, 32A, S2, 29B, U1, N25, REX 27345, 29A, SV901, 510, 36B, REX 27305, S7, S3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Leopoldau&start=1,
OEFFHALTESTOGD.8204196,8204196,POINT (16.45022791178775 48.2774772124806),Leopoldau,Leopoldau,"S1, CJX9, REX1, R1, REX 24212, REX2, REX7, REX 24312, 32A, S2, 29B, U1, N25, REX 27345, 29A, SV901, 510, 36B, REX 27305, S7, S3",,4,https://anachb.vor.at?P=SQ&input=Wien%20Leopoldau&start=1,
OEFFHALTESTOGD.8204197,8204197,POINT (16.28399529760523 48.134826676780094),Liesing,Liesing,"REX1, R 21222, 207, 64A, 62A, N65, S2, 61B, 255, 257, R3, 259, N66, SV510, 253, 250, 61A, S4, REX3, 258, 66A, 60A, 256, N61, S3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Liesing&start=1,
OEFFHALTESTOGD.8204198,8204198,POINT (16.400290861466598 48.25681452118094),Floridsdorf,Floridsdorf,"REX 14887, S1, REX 14882, R1, 33, R 21222, N20, REX92, G3, 26, REX2, 2, 850, U6, REX 24312, N30, 29B, 30, 500, 25, SV900, R3, REX 14886, 29A, 501, REX 14883, R 21170, REX 27305, 151, REX 2213, 3",,5,https://anachb.vor.at?P=SQ&input=Wien%20Floridsdorf&start=1,
